rank,brand,title,price,original_price,discount_rate,rating,review_count,url
108,LEZEN,[예약판매 특가] 초경량 BLDC 펠티어 파워 냉각 100단 무선 핸디형 선풍기 LZMF-UC01,22540,,9,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000818481144
109,유세린,단독구성 & 하이알루론 아이크림/나이트크림 외 전상품 최대 ~59% 할인+사은품 증정,33900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000777249581
110,삼성,[쓱설치] 인버터 제습기 [AY70H18100GVD],448800,,20,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000801212389
111,피코크,행사품목 모음전,7984,,20,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000817967964
112,바이탈뷰티,"[럭키박스][15% 쿠폰 적용가 : 27,540원]메타그린 슬림업 30일분(메타그린 풀패키지 샘플 추가 증정)",32400,,10,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000811719676
113,네파,"시원한 쿨맥스 데님팬츠 - 7L11640,7L21640",47025,,14,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000326542939
114,제로스트릿,[단독 특가] 26SS 신상 外 베스트 특가 2만원대부터 ~71%OFF,23001,,52,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000572461522
115,블랙야크,"25년S/S (정상가 89,000원) 남성 기능성 냉감 마르티 집업 반팔티 집업티셔츠 1BYZTMU014",37706,,14,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000791015734
116,샘표,"즉석카레짜장 5개 10,000원",3980,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000818909162
117,이쌀이다,[쓱7클럽] [2025년산] 햅쌀 강화군농협 강화섬쌀 삼광 10kg/상등급,36400,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000809074879
118,파르페,[파르페by알레르망] 구스/호텔침구/차렵이불/알러지케어/패드/경추베개/매트리스커버,89725,,64,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000210080755
119,,아이스크림 행사로 구매하기,7000,,22,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000170375530
120,TOM FORD BEAUTY (공식),[톰 포드] NEW 쏠레이 선키스드 블러시 단독 선출시,56430,,10,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000041474623
121,글램팜,프리미엄 미용실 고데기 + 드라이기 특가,240000,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000041484037
122,,냉장편의식/냉장면 행사상품 모음전,4480,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000817864598
123,아이더,"[정상가:113,000원] JUM25M92 아이더 키즈 UNI 티+바지 세트 / 땀배출,아이스,신축성,선물추천",33516,,14,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000360892717
124,켈로그,시리얼 첵스초코 4종 1+1+1 골라담기+락앤락 증정,16970,,3,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000061531698
125,바이탈플랜트,봄 에디션 출시 롤팬 NEW 오리지널 자동회전냄비 6종 택1,100000,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000784742639
126,아디다스피트니스,"헤드밴드, 무릎,  팔꿈치, 발목, 손목 보호대 헬스장갑 그외 베스트용품",12513,,3,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000713930107
127,디스커버리,25SS 디스커버리정상가 169000 프레시벤트 여성 미드 바람막이 WJ95,86697,,14,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000808374065
128,폴로 랄프 로렌,폴로 랄프로렌 신상 베스트 셀러,219000,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000028414875
129,,"엘라스틴/려 외 샴푸,컨디셔너  ~1+1",17900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000719826137
130,아이키움북,GO! GO! 미니 타일 자석 + 전용 틴케이스 세트,16900,,21,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000800189552
201,헤지스,26SS 신상품 20% & 인기 아이템 강남점 단독 특가!,108120,,32,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000600807100
202,종가,김치 2개구매시 1만원 할인,15900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000520605454
203,SK-II,7일간  최강혜택!,92800,,20,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000040407523
204,메트로시티,[ONLY 신세계]26 S/S NEW 라지 숄더백 M261MO4380Z,254828,,24,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000790329300
205,농심,"용기면 10개 9,900원",1250,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000818911611
206,입생로랑,NEW 입생로랑 블러 쿠션 선출시,100890,,5,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000052544184
207,룩캐스트,26SP 신상 외 베스트 아이템 특가 UP TO 47%,136170,,23,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000722259535
208,,서울/남양 우유 요거트 외 최대~50%,3880,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000656707183
209,이쌀이다,전국팔도 쌀 잡곡 할인특가!,35020,,9,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000051384223
